ID,KEYS,VALUES
27,This pattern illustrates how to create a column chart that compares the number of total orders and the number of orders that had at least one item purchased with a promo code.,"{a!columnChartField(data:a!recordData(recordType:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order',filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',operator:""between"",value:/*Trailing12Months*/toDatetime({eomonth(today(),-13)+1,eomonth(today(),-1)+1}))},ignoreFiltersWithEmptyValues:true)),config:a!columnChartConfig(primaryGrouping:a!grouping(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',alias:""orderDate_month_primaryGrouping"",interval:""MONTH_SHORT_TEXT""),/*Countofallorders*/measures:{a!measure(label:""Total Orders"",function:""COUNT"",field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{262bb249-cf34-4171-a573-54831d0958dd}orderId',alias:""orderId_count_measure1""),/*Countoforderswithatleastoneitemcontainingapromocode*/a!measure(label:""Orders with Promo Codes"",function:""COUNT"",field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{262bb249-cf34-4171-a573-54831d0958dd}orderId',filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{0bde4028-fd7a-411f-97ad-7ad5b84e0d18}orderDetail.relationships.{2ca679d6-3800-419b-8310-c1e328897e60}promoCode.fields.{aad6d5cd-e48f-46b4-bb00-a8252d51b3ee}description',operator:""<>"",value:""No Discount"")},ignoreFiltersWithEmptyValues:true),alias:""orderId_count_measure2"")},dataLimit:100),label:""Order Trends Over the Last 12 Months"",stacking:""NONE"",showLegend:true,showTooltips:true,labelPosition:""ABOVE"",colorScheme:""SUNSET"",height:""MEDIUM"",xAxisStyle:""STANDARD"",yAxisStyle:""NONE"",refreshAfter:""RECORD_ACTION"")}"
28,Use the milestone component to show steps in a wizard.,"a!localVariables(local!employee:a!map(firstName:null,lastName:null,department:null,title:null,phoneNumber:null,startDate:null),local!currentStep:1,local!steps:{""Step 1"",""Step 2"",""Review""},a!formLayout(label:""Example: Onboarding Wizard"",contents:{a!sectionLayout(contents:{a!milestoneField(steps:local!steps,active:local!currentStep)}),a!sectionLayout(contents:{a!columnsLayout(columns:{a!columnLayout(contents:{a!textField(label:""First Name"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.firstName,saveInto:local!employee.firstName,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Last Name"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.lastName,saveInto:local!employee.lastName,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Phone Number"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.phoneNumber,saveInto:local!employee.phoneNumber,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={2,3}))}),a!columnLayout(contents:{a!textField(label:""Department"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.department,saveInto:local!employee.department,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!textField(label:""Title"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.title,saveInto:local!employee.title,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={1,3})),a!dateField(label:""Start Date"",labelPosition:if(local!currentStep=3,""ADJACENT"",""ABOVE""),value:local!employee.startDate,saveInto:local!employee.startDate,readOnly:local!currentStep=3,required:not(local!currentStep=3),showWhen:or(local!currentStep={2,3}))})})})},buttons:a!buttonLayout(primaryButtons:{a!buttonWidget(label:""Go Back"",value:local!currentStep-1,saveInto:local!currentStep,showWhen:or(local!currentStep={2,3})),a!buttonWidget(label:if(local!currentStep=1,""Next"",""Go to Review""),value:local!currentStep+1,saveInto:local!currentStep,validate:true,showWhen:or(local!currentStep={1,2})),a!buttonWidget(label:""Onboard Employee"",style:""PRIMARY"",submit:true,showWhen:local!currentStep=3)})))"
29,Displays a column chart with aggregate data from a record type and conditionally shows a grid with filtered records when a user selects a column on the chart.,"a!localVariables(local!selection,a!sectionLayout(contents:{a!columnChartField(label:""All Cases"",data:a!recordData(recordType:recordType!Case,filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:recordType!Case.fields.type,operator:""not in"",value:{""Other""})},ignoreFiltersWithEmptyValues:true)),config:a!columnChartConfig(primaryGrouping:a!grouping(field:recordType!Case.fields.status,alias:""status""),secondaryGrouping:a!grouping(field:recordType!Case.fields.type,alias:""type""),measures:{a!measure(function:""COUNT"",field:recordType!Case.fields.id,alias:""id_count"")},dataLimit:100,link:a!dynamicLink(value:fv!selection,saveInto:local!selection)),stacking:""NONE"",colorScheme:""PARACHUTE"",showWhen:isnull(local!selection)),a!linkField(labelPosition:""COLLAPSED"",links:a!dynamicLink(label:""Back"",saveInto:a!save(target:local!selection,value:null)),showWhen:not(isnull(local!selection))),a!gridField(label:local!selection.status&"" ""&local!selection.type&"" Cases"",labelPosition:""ABOVE"",data:a!recordData(recordType:recordType!Case,filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:recordType!Case.fields.type,operator:""="",value:local!selection.type),a!queryFilter(field:recordType!Case.fields.status,operator:""="",value:local!selection.status)},ignorefilterswithemptyvalues:true)),columns:{a!gridColumn(label:""Id"",sortField:recordType!Case.fields.id,value:fv!row[recordType!Case.fields.id],align:""END""),a!gridColumn(label:""Assignee"",sortField:recordType!Case.fields.assignee,value:a!linkField(links:{a!recordLink(label:fv!row[recordType!Case.fields.assignee],recordType:recordType!Case,identifier:fv!identifier)})),a!gridColumn(label:""Title"",sortField:recordType!Case.fields.title,value:fv!row[recordType!Case.fields.title]),a!gridColumn(label:""Priority"",sortField:recordType!Case.fields.priority,value:fv!row[recordType!Case.fields.priority]),a!gridColumn(label:""Status"",sortField:recordType!Case.fields.status,value:fv!row[recordType!Case.fields.status]),a!gridColumn(label:""Type"",sortField:recordType!Case.fields.type,value:fv!row[recordType!Case.fields.type]),a!gridColumn(label:""Date Created"",sortField:recordType!Case.fields.dateCreated,value:fv!row[recordType!Case.fields.dateCreated],align:""END""),},showWhen:not(isnull(local!selection)))}))"
30,"Display a default value in some form inputs on a start form, and save the value into the process when submitting.","=a!formLayout(label:""Example: Default Value"",contents:{a!textField(label:""Case Title"",value:ri!title,saveInto:ri!title,required:true),a!dateField(label:""Date"",value:ri!date,saveInto:ri!date,required:true)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true)))"
31,"This pattern illustrates how to create a grid that shows the top paying customers, their latest order, and their total sum of sales.","{a!relatedRecordData(relationship:'recordType!{1b00c9c1-c2a1-455c-b204-1e6ec5c448a1}Customer.relationships.{0143bf2f-ae73-4534-bf44-8448c1c5f4f1}order',limit:1,sort:a!sortInfo(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',ascending:false))}"
32,"Show a dropdown that has an ""Other"" option at the end of the list of choices. If the user selects ""Other"", show a required text field.","a!localVariables(local!departments:{""Corporate"",""Engineering"",""Finance"",""HR"",""Professional Services""},/**Youneedseparatevariablestotemporarilystorethedropdownselection*(local!selectedDepartment)andthevalueenteredfor""Other""(local!otherChoice).*/local!selectedDepartment,local!otherChoice,local!savedValue,a!formLayout(label:""Example: Dropdown with Extra Option for Other"",contents:{a!dropdownField(label:""Department"",instructions:""Value saved: ""&local!savedValue,/**Addingthe""Other""optionhereallowsyoutostoreaseparatevalue.*Forexample,ifyourchoiceValuesareintegers,youcouldstore-1.*/choiceLabels:a!flatten({local!departments,""Other""}),choiceValues:a!flatten({local!departments,""Other""}),placeholder:""--- Select a Department ---"",value:local!selectedDepartment,saveInto:local!selectedDepartment),a!textField(label:""Other"",value:local!otherChoice,saveInto:local!otherChoice,required:true,showWhen:local!selectedDepartment=""Other"")},buttons:a!buttonLayout(/**TheSubmitbuttonsavestheappropriatevaluetoitsfinallocation*/primaryButtons:a!buttonWidget(label:""Submit"",value:if(local!selectedDepartment=""Other"",local!otherChoice,local!selectedDepartment),saveInto:local!savedValue,submit:true))))"
33,"Configure a checkbox that saves a boolean (true/false) value, and validate that the user selects the checkbox before submitting a form.","a!localVariables(local!userAgreed,a!formLayout(label:""Example: Configure a Boolean Checkbox"",contents:{a!checkboxField(label:""Acknowledge"",choiceLabels:{""I agree to the terms and conditions.""},choiceValues:{true},/*Iflocal!userAgreedisfalse,setthevalue*//*tonullsothatthecheckboxisunchecked*/value:if(local!userAgreed,true,null),/*Wewanttosaveafalsevaluewhenthecheckbox*//*isunchecked,soweneedtocheckwhether*//*save!valueisnullandupdatethevariableifso*/saveInto:a!save(local!userAgreed,if(isnull(save!value),false,true)),required:true,requiredMessage:""You must check this box!"")},buttons:a!buttonLayout(primaryButtons:{a!buttonWidget(label:""Submit"",submit:true)})))"
34,This pattern illustrates how to calculate year-over-year sales growth and display it in a KPI.,"a!localVariables(/*Calculatethesumofsalesforordersplacedthisyear*/local!salesThisYear:a!queryRecordType(recordType:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order',filters:a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',operator:""BETWEEN"",value:{/*Beginningoftheyear*/eomonth(today(),-month(today()))+1,now()}),fields:a!aggregationFields(/*Groupbyorderdateyear*/groupings:a!grouping(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',alias:""orderDate"",interval:""YEAR""),/*Getthesumoflinetotalforallorderitems*/measures:a!measure(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{0bde4028-fd7a-411f-97ad-7ad5b84e0d18}orderDetail.fields.{db456082-5f77-4765-bc3e-f662651e0d52}lineTotal',function:""SUM"",alias:""sumOfOrders"")),pagingInfo:a!pagingInfo(startIndex:1,batchSize:500)).data,/*Calculatethesumofsalesforordersplacedlastyear*/local!salesLastYear:a!queryRecordType(recordType:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order',filters:a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',operator:""BETWEEN"",value:{/*Beginningoftheyear-Lastyear*/datetime(year(eomonth(today(),-month(today()))+1)-1,1,1),/*Today-Lastyear*/datetime(year(today())-1,month(today()),day(today()))}),fields:a!aggregationFields(/*Groupbyorderdateyear*/groupings:a!grouping(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',alias:""orderDate"",interval:""YEAR""),/*Getthesumoflinetotalforallorderitems*/measures:a!measure(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{0bde4028-fd7a-411f-97ad-7ad5b84e0d18}orderDetail.fields.{db456082-5f77-4765-bc3e-f662651e0d52}lineTotal',function:""SUM"",alias:""sumOfOrders"")),pagingInfo:a!pagingInfo(startIndex:1,batchSize:500)).data,/*Salesgrowthcalculation*/local!salesGrowth:(local!salesThisYear.sumOfOrders-local!salesLastYear.sumOfOrders)/local!salesLastYear.sumOfOrders*100,/*Columnlayoutthatwe'll use for our KPIs */
  {
    a!columnsLayout(
      columns: {
        a!columnLayout(contents: {}),
        a!columnLayout(contents: {}),
        a!columnLayout(contents: {})
      }
    )
  }
)
"
35,Limit the number of rows that can be selected to an arbitrary number.,"a!localVariables(local!selection,local!selectedRows,/*Thisisthemaximumnumberofrowsyoucanselectfromthegrid.Selectionsthatexceedthisvaluearedroppedfromlocal!selectedRows.*/local!selectionLimit:2,/*Thisstoresthelastdroppedrowthatexceededtheselectionlimit.*/local!errorDrop,{a!columnsLayout(columns:{a!columnLayout(contents:{a!gridField(label:""Employees"",labelPosition:""ABOVE"",instructions:""Select up to ""&local!selectionLimit&"" employees."",data:recordType!Employee,columns:{a!gridColumn(label:""ID"",sortField:""id"",value:fv!row[recordType!Employee.fields.id],width:""ICON""),a!gridColumn(label:""First Name"",sortField:""firstName"",value:fv!row[recordType!Employee.fields.firstName]),a!gridColumn(label:""Last Name"",sortField:""lastName"",value:fv!row[recordType!Employee.fields.lastName]),a!gridColumn(label:""Phone Number"",sortField:""phoneNumber"",value:fv!row[recordType!Employee.fields.phoneNumber])},pagesize:10,selectable:true,selectionstyle:""ROW_HIGHLIGHT"",selectionvalue:local!selection,selectionsaveinto:{local!selection,a!save(local!selectedRows,append(local!selectedRows,fv!selectedRows)),a!save(local!selectedRows,difference(local!selectedRows,fv!deselectedRows)),/*Ifthelengthoftheselectedrowsisgreaterthanthelimit,thissavestheexcessselectioninlocal!errorDropsowecantelltheuserwhichrowwasdropped.*/if(length(local!selectedRows)>local!selectionLimit,a!save(local!errorDrop,fv!selectedRows),a!save(local!errorDrop,null)),/*Weusetherdrop()functiontoremovethemostrecentselections,soonlythefirst-selectedrows,uptothelimit,remain.Ifyouwantthereversebehavior,droppingtheoldestselectionsinstead,replacerdrop()withldrop().Themax()functionisusedasasimplewaytohandlenegativenumbersforwhentheselectionlengthislessthanthelimit.*/a!save(local!selectedRows,rdrop(local!selectedRows,max(0,length(local!selectedRows)-local!selectionLimit))),a!save(local!selection,rdrop(local!selection,max(0,length(local!selection)-local!selectionLimit)))},validations:a!validationMessage(message:""The total cannot be greater than $1,000"",validateAfter:""REFRESH"",showWhen:true))},width:""WIDE""),a!columnLayout(contents:{a!sectionLayout(label:""Selected Employees"",contents:{a!forEach(items:local!selectedRows,expression:a!textField(label:fv!index&"". ""&fv!item[recordType!Employee.fields.firstName]&"" ""&fv!item[recordType!Employee.fields.lastName],value:""    ""&fv!item[recordType!Employee.fields.phoneNumber],readOnly:true))}),a!richTextDisplayField(label:""Rich Text"",labelPosition:""COLLAPSED"",value:{a!richTextItem(text:{if(not(isnull(local!errorDrop)),""Can'tadd""
                      &local!errorDrop[recordType!Employee.fields.firstName] &""""& local!errorDrop[recordType!Employee.fields.lastName] &"".""
                      &char(10)&""Maximumselections:""&local!selectionLimit,
                      """"
                    )
                  },
                  color: ""NEGATIVE"",
                  style: {
                    ""STRONG""
                  }
                )
              }
            )
          }
        )
      }
    )
  }
)
"
36,Use an interface to display information about instances of a specific process model.,"a!localVariables(local!pagingInfo:a!pagingInfo(startIndex:1,batchSize:-1),local!report:a!queryProcessAnalytics(report:cons!UC_PROCESSES_FOR_PM_REPORT,contextProcessModels:{cons!UC_PROCESS_MODEL},query:a!query(pagingInfo:local!pagingInfo)),a!gridField(label:local!report.name,instructions:local!report.description,data:local!report.data,columns:a!forEach(items:local!report.columnConfigs,expression:a!gridColumn(label:fv!item.label,sortField:fv!item.field,value:if(fv!item.configuredFormatting=""PROCESS_STATUS_ICON"",a!imageField(images:choose(/*Processstatusgofrom0-4,soadd1toindexintothechooselist*/1+tointeger(index(fv!row,fv!item.field,{})),a!documentImage(document:a!iconIndicator(icon:""PROGRESS_RUNNING""),altText:""Active"",caption:""Active""),a!documentImage(document:a!iconIndicator(icon:""STATUS_OK""),altText:""Completed"",caption:""Completed""),a!documentImage(document:a!iconIndicator(icon:""PROGRESS_PAUSED""),altText:""Paused"",caption:""Paused""),a!documentImage(document:a!iconIndicator(icon:""STATUS_NOTDONE""),altText:""Cancelled"",caption:""Cancelled""),a!documentImage(document:a!iconIndicator(icon:""STATUS_ERROR""),altText:""Paused By Exception"",caption:""Paused By Exception""))),index(fv!row,fv!item.field)))),rowHeader:1,pageSize:20))"
37,Create a grid that shows hierarchical data and allows users to dynamically expand and collapse rows within the grid.,"a!localVariables(local!prs:a!queryEntity(entity:cons!PR_ENTITY,query:a!query(/*Toreturnallfields,leavetheselectionparameterblank.`*//*`Ifyouarenotdisplayingallfields,usetheselection`*//*`parametertoonlyreturnthenecessaryfields*/pagingInfo:a!pagingInfo(startIndex:1,batchSize:-1))).data,local!items:a!queryEntity(entity:cons!PR_ITEM_ENTITY,query:a!query(pagingInfo:a!pagingInfo(startIndex:1,batchSize:-1))).data,a!gridLayout(headerCells:{a!gridLayoutHeaderCell(label:""Summary""),a!gridLayoutHeaderCell(label:""Qty"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""Unit Price"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""Total Price"",align:""RIGHT"")},columnConfigs:{a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:4),a!gridLayoutColumnConfig(width:""DISTRIBUTE""),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2)},rowHeader:1,rows:a!forEach(items:local!prs,expression:a!localVariables(local!expanded:false,local!itemsForPr:index(local!items,/*Mustcasttointegerbecausea!queryEntity()returnsadictionary*/wherecontains(tointeger(fv!item.id),local!items.purchaseRequest.id),{}),local!totalPrice:sum(a!forEach(items:local!itemsForPr,expression:tointeger(fv!item.qty)*todecimal(fv!item.unitPrice))),{a!gridRowLayout(contents:{a!richTextDisplayField(label:""Summary ""&fv!index,value:{if(length(local!itemsForPr)=0,fv!item.summary,a!richTextItem(text:if(local!expanded,""-"",""+"")&"" ""&fv!item.summary,link:a!dynamicLink(value:not(local!expanded),saveInto:local!expanded)))}),a!textField(label:""Qty ""&fv!index,readOnly:true),a!textField(label:""Unit Price ""&fv!index,readOnly:true),a!textField(label:""Total Price ""&fv!index,value:dollar(local!totalPrice),readOnly:true,align:""RIGHT"")}),if(local!expanded,a!forEach(items:local!itemsForPr,expression:a!gridRowLayout(contents:{a!richTextDisplayField(label:""Item Summary ""&fv!index,value:a!richTextBulletedList(items:fv!item.summary)),a!integerField(label:""Item Qty ""&fv!index,value:fv!item.qty,readOnly:true,align:""RIGHT""),a!textField(label:""Item Unit Price ""&fv!index,value:dollar(fv!item.unitPrice),readOnly:true,align:""RIGHT""),a!textField(label:""Item Total Price ""&fv!index,value:dollar(tointeger(fv!item.qty)*todecimal(fv!item.unitPrice)),readOnly:true,align:""RIGHT"")})),{})}))))"
38,Make a paragraph component conditionally required based on the user selection.,"a!localVariables(local!isCritical,local!phoneNumber,a!formLayout(label:""Example: Conditionally Required Field"",contents:{a!columnsLayout(columns:{a!columnLayout(contents:{a!checkboxField(label:""Is Mission Critical"",choiceLabels:""Check the box if the employee will be on a mission critical team"",choiceValues:{true},value:local!isCritical,saveInto:local!isCritical)}),a!columnLayout(contents:{a!textField(label:""Cell Number"",placeholder:""555-456-7890"",required:local!isCritical,value:local!phoneNumber,saveInto:local!phoneNumber,validations:if(len(local!phoneNumber)>12,""Contains more than 12 characters. Please reenter phone number, and include only numbers and dashes"",null))})})},buttons:a!buttonLayout(primaryButtons:{a!buttonWidget(label:""Submit"",submit:true)})))"
39,This pattern illustrates how to create an area chart that dynamically displays sales generated by product category compared to total sales over the last year.,BikesAccessoriesClothingComponents
40,This pattern illustrates how to calculate the percent of sales generated from online orders and display it in a gauge component.,"a!localVariables(local!onlineSalesTY:a!queryRecordType(recordType:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order',/*Onlyincludeorderscreatedthisyear:year-to-date*/filters:{a!queryFilter(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',operator:""BETWEEN"",value:{/*Beginningoftheyear*/eomonth(today(),-month(today()))+1,now()})},fields:{a!aggregationFields(/*Groupbytheorderdateyear*/groupings:a!grouping(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.fields.{fbcc99f6-1ddf-4923-903b-18122a1737c6}orderDate',interval:""YEAR"",alias:""orderDateYear""),measures:{/*Getthesumofallorders*/a!measure(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{0bde4028-fd7a-411f-97ad-7ad5b84e0d18}orderDetail.fields.{db456082-5f77-4765-bc3e-f662651e0d52}lineTotal',function:""SUM"",alias:""totalSales""),/*Getthesumofallordersthathaveanonlineorderflag*/a!measure(field:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{0bde4028-fd7a-411f-97ad-7ad5b84e0d18}orderDetail.fields.{db456082-5f77-4765-bc3e-f662651e0d52}lineTotal',function:""SUM"",alias:""onlineSales"",filters:{a!queryFilter(field:'recordType!{bec4a875-9980-4bbf-a38c-c492ebed065a}Order Detail.relationships.{e6b1dbca-6c3c-4540-a093-3c581a73ad17}order.fields.{5bade7d5-5fbc-4cc4-807f-907f8f65969b}onlineOrderFlag',operator:""="",value:1),})})},pagingInfo:a!pagingInfo(1,10)).data,/*Columnlayoutthatwe'll use for our gauge components */
    {
        a!columnsLayout(
        columns: {
            a!columnLayout(contents: {}),
            a!columnLayout(contents: {})
        }
        )
    }
)
"
41,"Allow the user to edit data inline in a grid one field at a time, or in bulk using selection.","a!localVariables(local!items:{type!PrItem(id:1,summary:""Item 1"",qty:1,unitPrice:10,dept:""Sales"",due:today()+10),type!PrItem(id:2,summary:""Item 2"",qty:2,unitPrice:20,dept:""Finance"",due:today()+20),type!PrItem(id:3,summary:""Item 3"",qty:3,unitPrice:30,dept:""Sales"",due:today()+30)},local!selectedIndices:tointeger({}),a!formLayout(label:""Example: Inline Editable Grid using Selection for Bulk Actions"",contents:{a!buttonArrayLayout(buttons:{a!buttonWidget(label:""Approve"",value:""Approve"",/*Youcansaveintoafieldatmanyindicesatatime`*/saveInto:{local!items[local!selectedIndices].decision,/*`Cleartheselectedindicesafteradecisionismade`*/a!save(local!selectedIndices,tointeger({}))},disabled:count(local!selectedIndices)=0),a!buttonWidget(label:""Reject"",value:""Reject"",saveInto:{local!items[local!selectedIndices].decision,/*`Cleartheselectedindicesafteradecisionismade`*/a!save(local!selectedIndices,tointeger({}))},disabled:count(local!selectedIndices)=0),a!buttonWidget(label:""Need More Info"",value:""Need More Info"",saveInto:{local!items[local!selectedIndices].decision,/*`Cleartheselectedindicesafteradecisionismade*/a!save(local!selectedIndices,tointeger({}))},disabled:count(local!selectedIndices)=0)}),a!gridLayout(headerCells:{a!gridLayoutHeaderCell(label:""Summary""),a!gridLayoutHeaderCell(label:""Qty"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""U/P"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""Amount"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""Department""),a!gridLayoutHeaderCell(label:""Due"",align:""RIGHT""),a!gridLayoutHeaderCell(label:""Decision""),a!gridLayoutHeaderCell(label:""Reason"")},columnConfigs:{a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:5),a!gridLayoutColumnConfig(width:""DISTRIBUTE""),a!gridLayoutColumnConfig(width:""DISTRIBUTE""),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3)},rows:a!forEach(items:local!items,expression:{a!gridRowLayout(id:fv!index,contents:{a!textField(/*Labelsarenotvisibleingridcellsbutarenecessarytomeetaccessibilityrequirements*/label:""summary ""&fv!index,value:fv!item.summary,readOnly:true),a!integerField(label:""qty ""&fv!index,value:fv!item.qty,readOnly:true,align:""RIGHT""),a!floatingPointField(label:""unitPrice ""&fv!index,value:fv!item.unitPrice,readOnly:true,align:""RIGHT""),a!textField(label:""amount ""&fv!index,value:if(or(isnull(fv!item.qty),isnull(fv!item.unitPrice)),null,dollar(fv!item.qty*fv!item.unitPrice)),readOnly:true,align:""RIGHT""),a!dropdownField(label:""dept ""&fv!index,choiceLabels:{""Finance"",""Sales""},placeholder:""--Select-- "",choiceValues:{""Finance"",""Sales""},value:fv!item.dept,disabled:true),a!dateField(label:""due ""&fv!index,value:fv!item.due,readOnly:true,align:""RIGHT""),a!dropdownField(label:""decision ""&fv!index,choiceLabels:{""Approve"",""Reject"",""Need More Info""},placeholder:""--Select-- "",choiceValues:{""Approve"",""Reject"",""Need More Info""},value:fv!item.decision,saveInto:fv!item.decision,required:true),a!textField(label:""reason""&fv!index,value:fv!item.reason,saveInto:fv!item.reason,required:and(not(isnull(fv!item.decision)),fv!item.decision<>""Approve""),requiredMessage:""A reason is required for items that are not approved"")})}),selectable:true,selectionValue:local!selectedIndices,/*Flattentheselectedvaluessotheresultiseasiertoworkwith*//*whentheselect/deselectalloptionisusedinaneditablegrid*/selectionSaveInto:a!save(local!selectedIndices,a!flatten(save!value)),rowHeader:2),a!textField(label:""Selected Values"",labelPosition:""ADJACENT"",instructions:typename(typeof(local!selectedIndices)),value:local!selectedIndices,readOnly:true)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
42,Display an interactive pie chart with selectable sections so that a user may filter the results in a grid.,"a!localVariables(local!chartDataSubset:a!queryRecordType(recordType:recordType!Employee,/*Groupingondepartmentthencountingthetotalidsinthatgroupforthepiecharttosize.Thisreturnsanarrayofdepartmentswiththetotalnumberofemployeesinthatdepartment.Itlookslikethis:{{department:Engineering,id:6}...}*/fields:a!aggregationFields(groupings:a!grouping(field:recordType!Employee.fields.department,alias:""department""),measures:a!measure(field:recordType!Employee.fields.id,function:""COUNT"",alias:""id_measure"")),pagingInfo:a!pagingInfo(startIndex:1,batchSize:5000,sort:a!sortInfo(field:""department"",ascending:true))),/*local!selectedDepartmentholdsthenameoftheselectedpiechartsection.*/local!selectedDepartment,a!sectionLayout(contents:{a!pieChartField(series:a!forEach(items:local!chartDataSubset.data,expression:a!chartSeries(label:fv!item.department,data:fv!item.id,links:a!dynamicLink(/*Thedynamiclinkstoresthedepartmentvalueintolocal!selectedDepartment.*/value:fv!item.department,saveInto:local!selectedDepartment))),colorScheme:""MIDNIGHT""),a!linkField(labelPosition:""COLLAPSED"",links:a!dynamicLink(label:""Show all employees"",value:null,saveInto:{local!selectedDepartment}),showWhen:not(isnull(local!selectedDepartment))),a!gridField(label:if(isnull(local!selectedDepartment),""All Employees"",""Employees in ""&local!selectedDepartment),emptyGridMessage:""No employees meet this criteria"",data:a!recordData(recordType:recordType!Employee,/*Filterthedepartmentcolumnbasedonthevalueoflocal!selectedDepartment.*/filters:a!queryLogicalExpression(operator:""AND"",filters:a!queryFilter(field:recordType!Employee.fields.department,operator:""="",value:local!selectedDepartment),ignorefilterswithemptyvalues:true)),columns:{a!gridColumn(label:""First Name"",sortField:recordType!Employee.fields.firstName,value:fv!row[recordType!Employee.fields.firstName]),a!gridColumn(label:""Last Name"",sortField:recordType!Employee.fields.lastName,value:fv!row[recordType!Employee.fields.lastName]),a!gridColumn(label:""Title"",sortField:recordType!Employee.fields.title,value:fv!row[recordType!Employee.fields.title])})}))"
43,Allow users to choose from a long text array using an autocompleting picker and prevent any choice from being picked multiple times.,"a!localVariables(local!matches:where(a!forEach(items:ri!labels,expression:search(ri!filter,fv!item))),a!dataSubset(data:index(ri!labels,local!matches),identifiers:index(ri!identifiers,local!matches)))"
