Function Name,Param Names,Param Descriptions
loggedInUser()(),loggedInUser()(),
supervisor(),supervisor(userinfo),"userinfo: The user info of the user, which can be either the username or the user itself. "
togroup(),togroup(value),value: Value to convert. 
topeople(),topeople(value),value: Value to convert. 
touser(),touser(value),value: Value to convert. 
user(),"user(username, property)",username: The username or user object of the user whose information should be retrieved. property: The information to retrieve for this user. See Usage considerations. 
a!aggregationFields(),"a!aggregationFields(groupings, measures)",groupings: Fields to group by using a list of a!grouping(). measures: Calculations to perform using a list of a!measure(). 
a!isNativeMobile()(),a!isNativeMobile()(),
a!isPageWidth(),a!isPageWidth(pageWidths),"pageWidths: Valid values: ""PHONE"", ""TABLET_PORTRAIT"", ""TABLET_LANDSCAPE"", ""DESKTOP_NARROW"", ""DESKTOP"", ""DESKTOP_WIDE"". "
a!urlForTask(),"a!urlForTask(taskIds, returnTaskPathOnly)","taskIds: Task IDs of process tasks to generate links. returnTaskPathOnly: If true, only the last path segment to the task is included; if false, the full URL of the task is returned. Default: false "
averagetaskcompletiontimeforprocessmodel(),"averagetaskcompletiontimeforprocessmodel(Id, includeSubProcessData)",Id: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the completion time averages. 
averagetasklagtimeforprocessmodel(),"averagetasklagtimeforprocessmodel(Id, includeSubProcessData)",Id: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the completion time averages. 
averagetaskworktimeforprocessmodel(),"averagetaskworktimeforprocessmodel(Id, includeSubProcessData)",Id: The Id number of the process model. includeSubProcessData: This property controls whether data from subprocesses are included in the work time average. 
community(),"community(communityId, property)","communityId: The Id number of the community or community object you need property information from. property: The information you aree asking for, enclosed with quotation marks (""). "
datetext(),"datetext(value, format)",value: The value to convert to a text string. format: The pattern you want to use for the output. 
document(),"document(documentId, property)",documentId: The Id of the document. This parameter accepts document objects as well. Document objects are represented by their Id number internally. property: Information to retrieve for this document. 
folder(),"folder(folderId, property)",folderId: The Id number of the folder or the folder object. property: The information you need to retrieve regarding the document. 
isInDaylightSavingTime(),"isInDaylightSavingTime(date, timezone)",date: The date in which the expression should evaluate. timezone: The string Id of a timezone. 
knowledgecenter(),"knowledgecenter(knowledgeCenterId, property)",knowledgeCenterId: The Id of the knowledge center to be retrieved. This parameter accepts knowledge center objects as well. Knowledge center objects are represented by their Id number internally. property: Information to retrieve for this knowledge center. 
numontimeprocessesforprocessmodel(),"numontimeprocessesforprocessmodel(processModelId, includeSubProcessData)",processModelId: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the count. 
numontimetasksforprocessmodel(),"numontimetasksforprocessmodel(processModelId, includeSubProcessData)",processModelId: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the count. 
numoverdueprocessesforprocessmodel(),"numoverdueprocessesforprocessmodel(processModelId, includeSubProcessData)",processModelId: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the count. 
numoverduetasksforprocessmodel(),"numoverduetasksforprocessmodel(processModelId, includeSubProcessData)",processModelId: The Id number of the process model. includeSubProcessData: Controls whether data from subprocesses are included in the count. 
numprocessesforprocessmodelforstatus(),"numprocessesforprocessmodelforstatus(processModelId, status, includeSubProcessData)",processModelId: The Id number of the process model). status: The status of the processes you want counted. The following status parameters are available: active cancelled completed paused problem (problem processes are paused by exception.) includeSubProcessData: Controls whether data from subprocesses are included in the count. 
numtasksforprocessmodelforstatus(),"numtasksforprocessmodelforstatus(processModelId, status, includeSubProcessData)",processModelId: The Id number of the process model. status: The status of the tasks you want counted. includeSubProcessData: Controls whether data from subprocesses are included in the count. 
offsetFromGMT(),"offsetFromGMT(date, timezone)",date: The date for which the offset should be returned. timezone: The string Id of the timezone for which the offset should be returned. 
property(),"property(bean, nameOfProperty, valueIfMissing)",bean: Bean to retrieve the property from. nameOfProperty: Property to retrieve from the bean. valueIfMissing: Default value to return if the property is not present in the bean. 
repeat(),"repeat(times, input)",times: The number of times to repeat the input. input: The scalar value to repeat. Lists are not allowed. 
todatasubset(),"todatasubset(arrayToPage, pagingConfiguration)",arrayToPage: The array of values to page and sort. pagingConfiguration: The paging and sorting configuration. 
topaginginfo(),"topaginginfo(startIndex, batchSize)",startIndex: The value for the startIndex field. batchSize: The value for the batchSize field. 
torecord(),"torecord(xml, type)",xml: The XML text representing the Value to convert. type: Enter a variable (process variable or activity class) that has the same data type that you want the XML to be converted into. 
toxml(),"toxml(value, format, name, namespace)","value: The value or variable (PV, ACP) to be converted to XML. format: Whether or not to format the result. If true, the resultant XML is formatted with line breaks and indenting, otherwise it uses a compact notation. If not given, the result is unformatted XML. name: The name to use as the root element name in the resultant XML. If not given, the name of the data type of the variable passed as the value parameter is used. namespace: The namespace to use as the default namespace in the resultant XML. If not given, the namespace of the data type of the variable passed as the value parameter is used. "
urlforrecord(),"urlforrecord(recordType, recordIds)",recordType: The record type for the record(s). recordIds: The identifiers of the record(s) to return URLs for. 
urlwithparameters(),"urlwithparameters(parameterNames, parameterValues)",parameterNames: The parameters to append to the URL. parameterValues: The parameter values corresponding to the parameter names to append to the URL. 
userdate(),"userdate(year, month, day)",year: The year of the date you would like to convert into a serial number. month: The number of the month of the date. day: The day of the date. 
userdatetime(),"userdatetime(year, month, day, hour, minute, second)",year: The year of the datetime you would like to convert into a serial number. month: The number of the month of the datetime. day: The day of the datetime. hour: The hour of the datetime. minute: The minute of the datetime. second: The seconds of the datetime. 
userdatevalue(),userdatevalue(date_text),date_text: The date to be converted into a serial number. 
userday(),userday(date),date: The date or datetime from which the day of the month will be extracted. 
userdayofyear(),userdayofyear(date),"date: The date/datetime for which ""dayofyear"" is requested. "
userdaysinmonth(),"userdaysinmonth(month, year)",month: The month for which days are requested. year: The year for which days in month is requested. 
useredate(),"useredate(start_date, months)","start_date: The starting date. months: The number of months to offset, where negative is before starting_date and positive is after start_date. "
usereomonth(),"usereomonth(starting_date, months)","starting_date: The starting date. months: The number of months to offset, where negative is before starting_date and positive is after start_date. "
userisleapyear(),userisleapyear(year),year: The year to test whether or not it qualifies as a leap year. 
userlocale(),userlocale(user),user: The user (or the username of the user) for whom the locale should be returned. 
usermonth(),usermonth(date),date: The date or datetime from which the month is to be extracted. 
usertimezone(),usertimezone(user),user: The user (or the username of the user) for whom the timezone should be returned. 
userweekday(),"userweekday(date, return_type)",date: The date or datetime that the day of the week will be calculated from. return_type: Control for how the days of the week are numbered. 
userweeknum(),"userweeknum(date, methodology)",date: The date or datetime for which the week number is to be determined. methodology: Controls what day the week begins on. 
useryear(),useryear(date),date: The date or datetime from which the year is to be extracted. 
webservicequery(),"webservicequery(config, data)","config: defines the configuration details of the web service to invoke and any authentication configurations that are required by the service. use the a!wsconfig system function to construct the value for this argument. data: A dictionary of input objects that matches the message structure of the web service operation being invoked. The keys of the dictionary must correspond to the parameter names declared for the operation in the WSDL. The value of each key is itself a dictionary, with the keys based on the field names of the complex type defined as the input type in the WSDL. Keys are matched to parameter names case-sensitively. 	If the web service does not require an input, an empty dictionary should be passed, i.e. {}. "
webservicewrite(),"webservicewrite(config, data)","config: Defines the configuration details of the web service to invoke and any authentication configurations that are required by the service. Use the a!wsConfig system function to construct the value for this argument. data: A dictionary of input objects that matches the message structure of the web service operation being invoked. The keys of the dictionary must correspond to the parameter names declared for the operation in the WSDL. The value of each key is itself a dictionary, with the keys based on the field names of the complex type defined as the input type in the WSDL. Keys are matched to parameter names case-sensitively. If the web service does not require an input, an empty dictionary should be passed, i.e. {}. "
xpathdocument(),"xpathdocument(docId, expression, prefix)",docId: The Appian Document Id of the XML file or Content Item (Document). expression: The XPath Expression to evaluate. prefix: Prefix used if the XML document has a default namespace. 
xpathsnippet(),"xpathsnippet(snippet, expression, prefix)",snippet: An XML Snippet or an XML Document URL. expression: The XPath Expression to evaluate. prefix: Prefix used if the XML document has a default namespace. 
contains(),"contains(array, value)",array: Array to check. value: Value to look for. 
difference(),"difference(array1, array2)",array1: Initial array of values. array2: Array of values to remove from array1. 
intersection(),"intersection(array1, array2)",array1: Array to intersect. array2: Array to intersect. 
symmetricdifference(),"symmetricdifference(array1, array2)",array1: Array of values. array2: Array of values. 
union(),"union(array1, array2)",array1: Array to combine. array2: Array to combine. 
avedev(),avedev(number),number: A number or array of numbers to include in the set on which the average deviation will be calculated. 
average(),average(number),number: A number or array of numbers to include in the set that will be averaged. 
count(),count(value),value: An element or set of elements to be counted. 
frequency(),"frequency(data_array, bins_array)",data_array: The set of numbers that will be divided into groups according to bins_array and then counted bins_array: The upper (and inclusive) boundaries of the groups into which the elements from the data array will be dispersed. 
gcd(),gcd(number),number: The list of non-negative numbers. 
geomean(),geomean(number),number: One of the numbers or an array of numbers that will be exponentiated before being multiplied to calculate the geometric mean. 
harmean(),harmean(number),number: Numbers over which to calculate the harmonic mean. 
lcm(),lcm(number),number: The list of non-negative numbers. 
lookup(),"lookup(multipleValues, dataToLookup, valueIfNotPresent)",multipleValues: Values to lookup within. dataToLookup: Value to lookup within multipleValues. valueIfNotPresent: Value to return if dataToLookup is not present. 
max(),max(number),number: A candidate number or an array of candidates for the maximum. 
median(),median(number),number: A number or array of numbers that will be used to calculate the median of the set. 
min(),min(number),number: A candidate number or an array of candidates for the minimum. 
mode(),mode(number),number: A number or array of numbers that will be used to calculate the mode of the set. 
rank(),"rank(number, array, order)",number: The number to be ranked array: An array of numbers containing the number to be ranked order: Use 0 to rank the array elements from high to low and 1 to rank the array in ascending order. 
stdev(),stdev(number),number: A member or array of members of the set from which the standard deviation will be calculated. 
stdevp(),stdevp(number),number: A member or array of members of the set from which the standard deviation will be calculated. 
var(),var(number),number: A member or array of members of the set from which the variance will be calculated. 
varp(),varp(number),number: A member or array of members of the set from which the variance will be calculated. 
a!applyComponents(),"a!applyComponents(function, array, arrayVariable)",function: Rule or expression function. array: Array of elements that the function iterates through. arrayVariable: Optional variable for preserving component or rule data. 
a!dataSubset(),"a!dataSubset(startIndex, batchSize, sort, totalCount, data, identifiers)","startIndex: The index of the first item to be returned in the subset. batchSize: The number of items to be returned in the subset. sort: Valid values include null, an empty array of SortInfo, or an array of SortInfo where <SortInfo>.field is the name of a field on the input array elements or ""dot"" notation for a nested field. totalCount: The number of items in total. data: The data to be returned in the subset. identifiers: A parallel list of unique identifiers for each item in the subset. "
a!deployment(),"a!deployment(deploymentUuid, property)","deploymentUuid: The deployment to retrieve. The UUID is available from the post-deployment process or the deployment's log. property: The information to retrieve for this deployment. Properties are case-sensitive and the following properties are supported: name: The name of the deployment package. (Text) description: The description of the deployment package. (Text) uuid: The UUID of the deployment. (Text) auditUuid: The common UUID across environments that tracks a direct deployment and any related deployments completed using the Deploy to Another Environment option. (Text) status: The status of the deployment (Completed, Completed with Errors, Failed, In Progress, Pending, Rejected, Unavailable). (Text) applications: The list of applications that the deployments are for.(List of Application) packageType: The type of package (Patch or Application). (Text) objectsPackageId: The document ID for objects package zip file. (Integer) customizationFileId: The document ID for Import Customization property file. (Integer) databaseScriptsIds: The document IDs for database scripts in the order they are executed. (List of Integer) pluginsPackageId: The document ID for the zip file of plug-in JAR files. (Integer) logId: The ID of the deployment log. (Integer) source: The name of the source environment. (Text) target: The name of the target environment. (Text) objectsDeployed: The number of objects in the package that have been deployed. This includes successfully deployed objects and skipped objects. (Integer) objectsFailed: The number of objects in the package that have failed to deploy. (Integer) "
a!entityData(),"a!entityData(entity, data)",entity: This field holds a single Data Store Entity value in which the data to be updated is stored. data: This field holds multiple Any Type values to store in the entity. 
a!entityDataIdentifiers(),"a!entityDataIdentifiers(entity, identifiers)",entity: This field holds a single Data Store Entity value in which the data to be deleted is stored. identifiers: This field holds multiple Any Type values for the primary key values of the data to be deleted. 
a!executeStoredProcedureForQuery(),"a!executeStoredProcedureForQuery(dataSource, procedureName, inputs, timeout)","dataSource: The data source that contains the stored procedure. The value depends on how your data source is connected. For data source connected systems, enter the connected system constant. For data sources connected in the Admin Console, enter the name of the data source or a Text constant that stores the name. procedureName: Name of the stored procedure. Case sensitivity requirements are specific to each type of database. For Oracle and Db2 databases, enter the name in uppercase. For PostgreSQL databases, enter the name in lowercase. inputs: A list of names and values of the IN and INOUT parameters to the stored procedure created using a!storedProcedureInput(). An input must be provided for every IN and INOUT parameter. Case sensitivity requirements are specific to each type of database. For Oracle and Db2 databases, enter the parameter names in uppercase. For PostgreSQL databases, enter the parameter names in lowercase. timeout: The amount of time (in seconds) until the stored procedure execution is cancelled. Default: 30 seconds. "
a!fromJson(),a!fromJson(jsonText),jsonText: The text to convert from a JSON string to an Appian value. 
a!fromJson_19r2(),a!fromJson_19r2(jsonText),jsonText: The text to convert from a JSON string to an Appian value. 
a!getDataSourceForPlugin(),a!getDataSourceForPlugin(dataSourceConnectedSystem),dataSourceConnectedSystem: Constant that references a Data Source Connected System value. 
a!httpResponse(),"a!httpResponse(statusCode, headers, body)","statusCode: The status code of the response. Default is ""200"" meaning successful completion of the request. headers: A list of headers for the response. Built with a!httpheader(). Header values set using a!scsField() will be ignored. body: The body of the response. This value can be either text or a document. If a document is supplied, default headers will be set and the client browser will attempt to open the document. Some documents, such as images, sound files, and PDFs, can be effectively viewed within your browser window. Other documents, such as Microsoft Office files, may be downloaded for local viewing. "
a!httpResponse_17r4(),"a!httpResponse_17r4(statusCode, headers, body)","statusCode: The status code of the response. Default is ""200"" meaning successful completion of the request. headers: A list of headers for the response. Built with a!httpHeader(). body: The body of the response. "
a!iconIndicator(),a!iconIndicator(icon),icon: The key from the table of the icon to be returned. 
a!documentImage(),"a!documentImage(document, altText, caption, link, showWhen)","document: The image to display. altText: Alternate text of the image used for the image's alt attribute and read by screen readers; see accessibility considerations for more information. caption: Optional text to display in the mouseover text for the image and when the images is viewed in slideshow mode. link: Link that determines the behavior of an image when clicked. Create links with: a!authorizationLink() a!documentDownloadLink() a!dynamicLink() a!newsEntryLink() a!processTaskLink() a!recordLink() a!reportLink() a!startProcessLink() a!submitLink() a!userRecordLink() a!safeLink() showWhen: Determines whether the image is displayed in the component. When set to false, the image is hidden and is not evaluated. Default: true. "
a!iconNewsEvent(),"a!iconNewsEvent(icon, color)",icon: The key from the table of the icon to be returned. color: The key from the color table to be returned. Default color is blue. 
a!integrationError(),"a!integrationError(title, message, detail)","title: A short summary of the error or the error type. message: A description of the error. detail: Technical details about the error, including error codes or underlying error messages. "
a!jsonPath(),"a!jsonPath(value, expression)",value: The JSON text representing the value to be queried. expression: The JSONPath query to be run against the JSON object. 
a!latestHealthCheck()(),a!latestHealthCheck()(),
a!listViewItem(),"a!listViewItem(title, details, image, timestamp)","title: The name or short text description of the item. details: A longer text description of the item. image: The image to appear in the record list next to each item. Value must be entered as an expression. If left null or empty, the first two letters of the record title display. For image file types, a thumbnail of the document displays. For user values, the user's avatar displays. timestamp: The creation or modification timestamp of the item. "
a!pagingInfo(),"a!pagingInfo(startIndex, batchSize, sort)","startIndex: Index of the array in which to start returning values for the subset. Valid values include those greater than zero. batchSize: The number of items to return. When used with records, valid values are 0 to 5,000. When used with an entity, valid values include those greater than or equal to -1. See Using the batchSize parameter for more information about the allowed values. sort: Valid values include null, an empty array of SortInfo, or an array of SortInfo where <SortInfo>.field is the name of a field on the input array elements or ""dot"" notation for a nested field. "
a!query(),"a!query(selection, aggregation, logicalExpression, filter, pagingInfo)","selection: A list of fields that you wish to retrieve, created with a!querySelection(). aggregation: A list of fields and the operations you wish to perform on them when retrieving the data, created with a!queryAggregation(). logicalExpression: A set of conditions to apply to the queried data before any grouping or aggregation, created with a!queryLogicalExpression(). filter: A single condition to apply to the queried data before any grouping or aggregation, created with a!queryFilter(). pagingInfo: The paging and sorting configurations to apply when retrieving the data, created with a!pagingInfo(). "
a!queryAggregation(),a!queryAggregation(aggregationColumns),"aggregationColumns: A list of AggregationColumns that indicate which fields to group or aggregate, created with a!queryAggregationColumn. "
a!queryAggregationColumn(),"a!queryAggregationColumn(field, alias, visible, isGrouping, aggregationFunction, groupingFunction)","field: The dot-notation to the field of the data, such as a record type, you want to group together and/or aggregate. The fields cannot be complex or multiple values. alias: The short name by which the result of the AggregationColumn value can be referenced in other places of the Query value. Values are case-sensitive. visible: Determines whether the grouping or aggregation column should be visible to end users. If false, the data for the column will not be retrieved, but it can be used for sorting. Default value is true. isGrouping: Determines whether the field should be grouped. Default value is false. aggregationFunction: The function to use when aggregating the field. Valid values include COUNT, SUM, AVG, MIN, and MAX. Requires isGrouping to be false. groupingFunction: A function that can be applied on the selected field. Valid values are YEAR and MONTH. This parameter can only be used with Date and Date and Time data types. Requires isGrouping to be true. "
a!queryColumn(),"a!queryColumn(field, alias, visible)","field: The field of the data type you want to retrieve. The fields available depend on the source of the data and the data type of that source. alias: The short name by which the result of the Column value can be referenced in other areas of the Query value. Values are case-sensitive. visible: Determines whether the column should be visible to end users. If false, the data for the column will not be retrieved, but it can be used for sorting. Default value is true. "
a!queryEntity(),"a!queryEntity(entity, query, fetchTotalCount)","entity: The Data Store Entity to query. query: The query definition of the report including grouping, aggregation, filtering, paging, and sorting configurations, created with a!query(). fetchTotalCount: If set to false, avoids running the query that retrieves the total number of rows in the totalCount parameter of the resulting datasubset. In cases where you don't need the total count, skipping this query can improve the performance of a!queryEntity(). Default: false. "
a!queryEntity_18r3(),"a!queryEntity_18r3(entity, query)","entity: The Data Store Entity to query. query: The query definition of the report including grouping, aggregation, filtering, paging, and sorting configurations, created with a!query(). "
a!queryEntity_22r2(),"a!queryEntity_22r2(entity, query, fetchTotalCount)","entity: The Data Store Entity to query. query: The query definition of the report including grouping, aggregation, filtering, paging, and sorting configurations, created with a!query(). fetchTotalCount: If set to false, avoids running the query that retrieves the total number of rows in the totalCount parameter of the resulting datasubset. In cases where you don't need the total count, skipping this query can improve the performance of a!queryEntity(). Default: false. "
a!queryFilter(),"a!queryFilter(field, operator, value, applyWhen)","field: The name of the field or relationship to be filtered. When filtering record data, use the recordType! domain to reference a record field, related record field, or record type relationship. For example, recordType!Case.fields.caseName. When filtering data from a data store entity, use the field name in quotations. For example, ""department"". operator: Filter operator to apply to the data. Valid values: ""="", ""<>"", "">"", "">="", ""<"", ""<="", ""between"", ""in"", ""not in"", ""is null"", ""not null"", ""starts with"", ""not starts with"", ""ends with"", ""not ends with"", ""includes"", ""not includes"". value: The value to compare to the given field using the given operator. Can be entered as an expression. Optional if the operator value is ""is null"" or ""not null"". Filter is ignored if value is empty or null and operator is neither ""is null"" or ""not null"". applyWhen: Determines whether the filter is applied on the query. When set to false, the filter is not evaluated. Default: true. "
a!pickerFieldRecords(),"a!pickerFieldRecords(label, labelPosition, instructions, helpTooltip, placeholder, maxSelections, recordType, filters, value, saveInto, required, requiredMessage, readOnly, disabled, validations, validationGroup, accessibilityText, showWhen, showRecordLinks)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. instructions: Supplemental text about this field. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". placeholder: Text to display in the field when it is empty. Does not show if the field is read only. maxSelections: Maximum number of allowed selections. Once this number is reached, further selections are blocked until a selection is removed. recordType: Required, singular. Filters picker to select records of this type. filters: A single logical expression or a list of query filters can be provided to apply additional filters to the record set. Queries inherit the default filters defined on the referenced record type. Service-backed record types can only be filtered using a logical expression if data sync is enabled. value: Array of currently selected records. This will be either a List of Text or a List of Number (Integer), depending on the recordType selected. saveInto: One or more variables that are updated with the array of selected records when the user selects or removes a record. Use a!save() to save a modified or alternative value to a variable. required: Determines if a value is required to submit the form. Default: false. requiredMessage: Custom message to display when the field's value is required and not provided. readOnly: Determines if the field should display as not editable. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. validations: Validation errors to display below the field when the value is not null. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. showRecordLinks: Determines whether selected records display links to their summary views. Default: true. "
a!queryRecordType(),"a!queryRecordType(recordType, fields, filters, pagingInfo, fetchTotalCount, relatedRecordData)","recordType: A reference to a record type. You must reference the record type directly from the recordType! domain. For example, recordType!Case. fields: Fields to be retrieved for the query. This parameter accepts different values depending on the type of query to run. When performing a selection, use a list of record field or related record field references defined with the recordType! domain. When performing an aggregation, use a!aggregationFields() to define the configuration for the aggregated fields. filters: A single logical expression or a list of query filters can be provided to apply additional filters to the record set. Queries also inherit the default filters defined on the referenced record type. Reference record fields or related record fields from the specified record type using the recordType! domain. Record types sourced from a web service or other expression only support this parameter if the data is synced. pagingInfo: The paging and sorting configurations to apply when retrieving the record data. fetchTotalCount: This parameter is only used when querying unsynced record types that use a database as the source. Synced record types automatically return the totalCount property. If set to true, a separate query returns the total number of records in the totalCount property of the query result. In cases where you don't need the totalCount, omitting this parameter can improve performance. relatedRecordData: When selecting one-to-many related record data, use a!relatedRecordData() to filter, sort, and limit the related record sets. This parameter is not supported when performing an aggregation. "
a!recordData(),"a!recordData(recordType, filters, relatedRecordData)","recordType: A reference to a record type, configured using the recordType! domain. For example, recordType!Employee. filters: A single logical expression or a list of query filters, which are applied together with an AND operation, can be provided to apply additional filters to the record set. Queries also inherit the default filters defined on the referenced record type. When filtering, use only record fields or related record fields from the referenced record type. Record types sourced from a web service or other expression only support this parameter if the data is synced. relatedRecordData: When selecting one-to-many related record data, use a!relatedRecordData() to filter, sort, and limit the related record sets. This parameter is only supported when a!recordData is used in a read-only grid. "
a!recordFilterListOption(),"a!recordFilterListOption(id, name, filter, dataCount)",id: The unique identifier for the filter option. This must be unique across other filter options within the same user filter. name: The name of the filter option that is displayed to users. filter: The QueryFilter value that will be sent by the framework when this filter option is selected. dataCount: An optional value that defines how many items in the data set will be selected if this filter option is selected. 
a!query(),"a!query(selection, aggregation, logicalExpression, filter, pagingInfo)","selection: A list of fields that you wish to retrieve, created with a!querySelection(). aggregation: A list of fields and the operations you wish to perform on them when retrieving the data, created with a!queryAggregation(). logicalExpression: A set of conditions to apply to the queried data before any grouping or aggregation, created with a!queryLogicalExpression(). filter: A single condition to apply to the queried data before any grouping or aggregation, created with a!queryFilter(). pagingInfo: The paging and sorting configurations to apply when retrieving the data, created with a!pagingInfo(). "
a!queryLogicalExpression(),"a!queryLogicalExpression(operator, logicalExpressions, filters, ignoreFiltersWithEmptyValues)","operator: Determines the operation to apply to the set filters. Valid values: ""AND"", ""OR"", and ""AND_ALL"". The “AND_ALL” operator is only valid when filtering on multiple fields from a one-to-many relationship. logicalExpressions: A list of LogicalExpression objects to apply using the operator parameter, created with a!queryLogicalExpression(). filters: A list of QueryFilters to apply using the operator parameter, created with a!queryFilter(). ignoreFiltersWithEmptyValues: Specifies whether to ignore filters within a!queryLogicalExpression() if the filter’s value parameter is empty. If you are using nested logical expressions, this parameter must have the same value for each logical expression. For example, if the value is set to true for the parent logical expression, it should be set to true for all children logical expressions. Default: false "
a!queryProcessAnalytics(),"a!queryProcessAnalytics(report, query, contextGroups, contextProcessIds, contextProcessModels, contextUsers)","report: .arf document containing the report configuration. query: An optional query object containing paging and extra filters, created with a!query(). If no query is provided, the default paging from the report is used. contextGroups: One or more groups to pass to the report context. contextProcessIds: One or more process ids to pass to the report context. contextProcessModels: One or more process models to pass to the report context. contextUsers: One or more users to pass to the report context. "
a!querySelection(),a!querySelection(columns),"columns: A list of Columns that indicate which fields to retrieve, created with a!queryColumn(). "
a!recordFilterChoices(),"a!recordFilterChoices(choiceLabels, choiceValues)",choiceLabels: The list of text to be displayed to the user as the filter choices. choiceValues: The list of values associated with the available choices. 
a!recordFilterDateRange(),"a!recordFilterDateRange(name, field, isVisible, defaultFrom, defaultTo)","name: Name of the date range user filter. field: The record field or related record field the filter will apply to. isVisible: Determines whether the filter is visible to the user. Default is true. defaultFrom: Determines the default start date, if any, for the date range filter. defaultTo: Determines the default end date, if any, for the date range filter. "
a!recordFilterDateRange_20r2(),"a!recordFilterDateRange_20r2(name, field, defaultFrom, defaultTo, isVisible)","name: The name of the user filter that displays to end users. field: The name of the field the filter will apply to. defaultFrom: Determines which, if any, starting date is applied when a record list first loads. defaultTo: Determines which, if any, ending date is applied when a record list first loads. isVisible: Determines whether the filter is visible to the user at runtime. Default is true. "
a!recordFilterList(),"a!recordFilterList(name, options, defaultOption, isVisible, allowMultipleSelections)","name: The name of the user filter that displays to end users. options: The options that users can select from for a given user filter. defaultOption: Determines which, if any, filter option is applied when a record list first loads. isVisible: Determines whether the filter is visible to the user at runtime. Default is true. allowMultipleSelections: Determines whether the filter allows the user to select multiple options or a single option. Default is true. "
a!recordFilterListOption(),"a!recordFilterListOption(id, name, filter, dataCount)",id: The unique identifier for the filter option. This must be unique across other filter options within the same user filter. name: The name of the filter option that is displayed to users. filter: The QueryFilter value that will be sent by the framework when this filter option is selected. dataCount: An optional value that defines how many items in the data set will be selected if this filter option is selected. 
a!sentimentScore(),a!sentimentScore(text),"text: The text values from which to extract sentiment scores. For best results, use values that are about the length of a sentence. "
a!sortInfo(),"a!sortInfo(field, ascending)","field: The name of the field used to sort by. When sorting record data, use the recordType! domain to reference a record field or related record field. For example, recordType!Case.fields.caseName. When sorting data from a data store entity, use the field name in quotations. For example, ""department"". When sorting on aggregate data, you must use the alias as the sort field if an alias is defined in the groupings or measures. ascending: Determines what order the data is sorted in. Sorted in ascending order when the value is true and descending order when the value is false. Default: false. "
a!storedProcedureInput(),"a!storedProcedureInput(name, value)",name: Name of the input to the stored procedure. value: Value of the input to be passed to the stored procedure. 
a!submitUploadedFiles(),"a!submitUploadedFiles(onSuccess, onError)",onSuccess: A list of saves to execute after the uploaded files are submitted successfully to the target folder. onError: A list of saves to execute after the uploaded files are not submitted successfully to the target folder. Use fv!error to access the returned error. 
